Price,Close,High,Low,Open,Volume
Ticker,^NSMIDCP,^NSMIDCP,^NSMIDCP,^NSMIDCP,^NSMIDCP
Date,,,,,
2022-12-14,43936.26953125,44038.017604423316,43807.61962377291,43850.47037479837,192800
2022-12-15,43543.27734375,44007.71777123457,43447.326034986,43895.06755980952,193400
2022-12-16,42985.484375,43523.92336739184,42939.434468357606,43396.12501336528,259000
2022-12-19,43412.67578125,43456.12417510312,42849.03804479024,43030.88224860614,175000
2022-12-20,43328.4296875,43378.627955874756,42934.18715146956,43347.878538035984,174400
2022-12-21,42637.83984375,43619.97356209146,42491.842612474895,43463.277314964944,215600
2022-12-22,42325.55078125,42961.53874863069,42044.005326719125,42774.639940925896,238800
2022-12-23,40753.02734375,42075.00225444899,40626.228968962154,42007.35119462488,320900
2022-12-27,42138.6015625,42177.553950878864,41763.96020977066,41945.905987779,182000
2022-12-28,42260.6484375,42394.34512288142,41986.40363406239,42115.80352586215,206000
2022-12-29,42251.75,42434.84418613595,41739.06049805795,42088.65152864292,187400
2022-12-30,42186.84765625,42664.541713768886,42104.50156307501,42541.94247841998,160000
2023-01-02,42248.3984375,42409.8515625,42117.69921875,42321.1015625,1349288600
2023-01-03,42434.25,42515.05078125,42287.55078125,42332.6484375,164700
2023-01-04,41861.25,42481.19921875,41800.0,42454.30078125,200900
2023-01-05,42150.5,42211.5,41731.8984375,42042.1015625,162900
2023-01-06,41841.3515625,42257.0,41700.69921875,42197.3515625,164400
2023-01-09,42179.75,42244.0,41906.8984375,42093.30078125,164700
2023-01-10,42026.30078125,42256.6484375,41700.55078125,42250.0,179100
2023-01-11,41889.8984375,42153.69921875,41808.3984375,42103.80078125,179600
2023-01-12,41978.8984375,42027.44921875,41787.69921875,41974.8984375,207300
2023-01-13,42152.44921875,42184.94921875,41815.05078125,42052.69921875,181100
2023-01-16,42125.1484375,42263.8515625,41985.1484375,42201.44921875,154300
2023-01-17,42161.5,42258.1015625,41894.94921875,42186.69921875,243800
2023-01-18,42165.05078125,42221.94921875,41977.05078125,42206.5,247700
2023-01-19,42019.1015625,42094.19921875,41862.55078125,42057.30078125,175400
2023-01-20,41861.44921875,42085.55078125,41791.3984375,42042.75,212600
2023-01-23,41926.25,42049.1015625,41815.1015625,41960.8984375,188700
2023-01-24,41820.6484375,42071.1484375,41763.8984375,42037.8515625,211400
2023-01-25,40768.19921875,41696.30078125,40711.44921875,41673.30078125,475300
2023-01-27,39250.44921875,40702.55078125,38754.44921875,40683.80078125,496800
2023-01-30,38802.94921875,39463.6484375,38307.94921875,38952.19921875,415000
2023-01-31,39199.30078125,39293.6484375,38658.30078125,38849.44921875,414300
2023-02-01,38565.1484375,39571.75,37872.55078125,39488.19921875,449200
2023-02-02,38473.8984375,38607.30078125,37949.6015625,38293.1015625,333400
2023-02-03,38464.1484375,38506.19921875,37846.1015625,38455.3984375,318800
2023-02-06,38677.6015625,38720.30078125,38294.69921875,38463.6015625,260300
2023-02-07,38615.5,38758.69921875,38469.55078125,38644.6484375,298900
2023-02-08,38961.0,38988.8984375,38659.25,38704.80078125,477700
